,hyponym,hypernym
5183,severe weather exposure,unusual event
5184,information,counseling
5185,traditional religious leader,appropriate attendee
5186,officer candidate,the Military Services
5187,subcontractor,the supply chain
5188,information sharing,the insider threat program
5189,leak repair,all repair
5190,adult family member,CDPs
5191,political donation,relation activity
5192,issue,storage activity
5193,hazard,HRA datum
5194,lawn mower,item
5195,ground water,any water
5196,finance,activity
5197,military family housing construction,military facility
5198,the rationale,the select remedy
5199,financial or management information,contract administration
5200,nonappropriate fund instrumentality,DoD Components
5201,coastal barge,delivery mode
5202,sump,Tank system
5203,health record,service record
5204,insurance requirement,nonrecurring demand
5205,representational duty,responsibility
5206,coordination signature level,action
5207,deployment,logistic action
5208,all final combiner,spectral characteristic
5209,noncompliance,term
5210,the purpose,activity
5211,soil surface feature,the site
5212,jrmpo,liaison personnel
5213,OPCON,an operational relation
5214,system,documentation
5215,family member,eligible beneficiary
5216,the appropriate facility security officer,parent organization
5217,train personnel,capability
5218,first responder,assign EM resource
5219,distribution,the supply chain
5220,accession,the request record
5221,Air Force,the SAPR Program
5222,the password,the victim profile
5223,pesticide,integrate surveillance base management practice
5224,Egypt,country
5225,mou,procedure
5226,use or damage item,DoD property
5227,family,government aircraft
5228,a multidisciplinary assessment,developmental area
5229,military library,official outlet
5230,authorization,risk management
5231,expedite consideration,timely resolution
5232,these online training course,Engineers
5233,lead,heavy metal
5234,survey,collection requirement
5235,acquisition,any mean
5236,Atmospheric Administrations,program
5237,technical and contract support,and demand management
5238,logistic,function
5239,threat assessment,threat information
5240,interview,activity
5241,the establishment,requirement
5242,the procurement,nonconsumable item
5243,DoD contractor,all deceased or miss DoD civilian personnel
5244,unspecified minor military,military facility
5245,hydraulic lift tank,operational purpose
5246,research,a systematic investigation
5247,assessment,intelligence capability
5248,desk support,activity
5249,transport exercise,Military Department and Service exercise
5250,analyst,researcher
5251,factory,facility
5252,elective requirement,program
5253,the datum field,annual report
5254,core hour,80 hour
5255,a description,Dispute resolution procedure
5256,facility,that adequate resource
5257,any specie,natural resource
5258,the DNI,agency
5259,DHS,the critical asset
5260,hour,factor
5261,guard,capacity
5262,period,increase vulnerability
5263,any fraction,petroleum
5264,the acquisition,mean
5265,stapler,those material
5266,internal airlift,tactical transport
5267,liner,the containment system
5268,highway,DoDs infrastructure
5269,which system,the CBRN mcr
5270,training museum staff,mean
5271,unofficial public speech,activity
5272,cost,transportation cost
5273,apartment,word
5274,force structure change,factor
5275,technical manual,exist reference document
5276,conflict situation,priority
5277,aircraft,installation
5278,cybersecurity,it standard
5279,issue,NLW
5280,commander,leader
5281,position,this instruction
5282,administration,cost
5283,Military Departments,DoD Components
5284,case,operational and training deployment
5285,ln,civilian
5286,all travel,a JCOC
5287,hill,topographical feature
5288,the Global Health Security,health protection and health security relate issue
5289,pipeline,delivery mode
5290,wind turbine,renewable energy resource
5291,facility utilization,SCI implication
5292,CSDR plan,CSDR material
5293,rodenticides,desiccant
5294,who,member or Committee staff
5295,recess period,activity
5296,TJC reviewable se,all se
5297,association,any person
5298,bidding,grant process
5299,survey,activity
5300,the procedure,international agreement
5301,DoD,all DoD civilian personnel
5302,intelligence,conflict assessment
5303,Reserve Units,Marine Corps
5304,IRT advisory council,the IRT program
5305,video,medium
5306,assistance,technology
5307,judge advocate,legal counsel
5308,reactor vessel,large facility component
5309,sweet roll,pastry
5310,brass,nonferrous metal
5311,draft,political pursuit
5312,the assignment,DARPAs annual program budget estimate
5313,name request,form
5314,enterprise network datum,service
5315,any applicable locality payment,overtime pay purpose
5316,timeline,tool
5317,crate,a receptacle
5318,ultimate disposal,all cycle
5319,adjustment,the Military Departments
5320,software,program protection
5321,current job listing,relevant labor market information
5322,summary,major work sponsor participation
5323,navigation,electronic and allied equipment
5324,semen,fluid
5325,natural disaster,event
5326,Chemical Agents,Toxicological Agents
5327,job search method,skill
5328,the cost,DoD materiel
5329,global campaign plan,domain
5330,organizational factor,issue
5331,wired or wireless mode,any delivery method
5332,parent,medical source
5333,accident,radiological matter
5334,antibiotic,MCM
5335,review,activity
5336,a witness,information
5337,the Arms Export Control Act,regulation
5338,lead,sparking metal
5339,diving research,training
5340,veterinarian participation,zoonotic disease
5341,polystyrene,plastic binder
5342,,State official
5343,physician,medical training
5344,financial liability,planning document
5345,DOE,agency
5346,summer camp,the YS
5347,maintenance,reason
5348,feature motion picture,medium production
5349,design,design
5350,DoD civilian,every level
5351,while the rc,information
5352,the National,the CJCS
5353,health,improper disposal
5354,directive,directive
5355,U,Aircraft
5356,missile,item
5357,tool,DDESB issuance
5358,tail pipe,120 faulty equipment
5359,sexual harassment,problematic behavior
5360,the capability,the ngrer
5361,supplemental material,a statement
5362,modeling,operation
5363,the removal,physical processing
5364,security clearance level,all special qualification
5365,the safe handling,the supply chain
5366,incident,situation
5367,episodic television program,medium production
5368,the transformation,the COMSEC and cryptography focal point
5369,the original award,thing
5370,SAP information,all classified information
5371,education,country
5372,aircraft,platform
5373,disorder,disorder
5374,consultant expense,development
5375,vehicle,common type item
5376,linear,automatic identification technology
5377,creation,directory
5378,shortfall,plan
5379,BMDS architecture,defense
5380,the reason,member
5381,information,abuse
5382,field trip,the YS
5383,the standard,DoD network operation
5384,cartridge,alternate filtration technology
5385,professional supervision,control
5386,a contact person,the specimen
5387,education,DoD mission activity
5388,JCIDS,CBRD RDA
5389,nonperishable food,article
5390,potential restriction,the Committee
5391,the type,the EFAC operational component
5392,affirmative action program,equal opportunity program
5393,the preliminary hazard assessment,hra
5394,website,generic service
5395,outreach program,approve PA activity
5396,who,Reserve Component capability
5397,Air,military exchange
5398,worm,blended threat
5399,mental health,any medical condition
5400,transition,assistance
5401,basket strainer housing,system component
5402,member,active duty
5403,preparation and planning activity,contact
5404,sealift,DTS infrastructure
5405,related service,EDIS
5406,takeoff,production assistance
5407,all know or suspect radiological contamination,the control area
5408,land,all domain
5409,geographical separation,reason
5410,RSM,time
5411,correspond authority,fund
5412,petroleum,energy supply
5413,pesticide applicator certification number,certify official
5414,Military Department birthday,special occasion
5415,avionic,specialized item
5416,disposal,chain
5417,restriction,mean
5418,death,vital event
5419,establishment,policy
5420,physician assistant,medical training
5421,disposal,the DoD Components
